jersey,name,day,team,opponent,goal,assist,defense,drop,throwaway,o-line,o-scoring-line,d-line,d-scoring-line
34,Sangeeta Singh,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
51,Sowmya Gascon,day-1,Delhi Ultimate,Madhya Pradesh,2,,,,,6,4,10,7
3,Suhani Bedi,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,7,4,10,
2,Veena Singh,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
17,Aman Doharey,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
94,Aranyadev Jhala,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
23,Jatin Meena,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
4,Kanishk K,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
47,Michiaki Ito,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
13,Mohit Rawat,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
6,Samarth Mishra,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
7,Sidharth Walecha,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
1,Subhadeep Guha,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
0,Sunny Chauhan,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
74,Udayan Philip,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,,
97,Arya Shah,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
39,Bhavya Jain,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
6,Dhwani Jain,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
21,Khushi Desai,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
18,Kirtika Khambhu,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
1,Maitry Acharya,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
2,Muskan Jain,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
15,Neha Diwakar,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
4,Nimisha Vasava,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
17,Ritika Solanki,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
5,Riya Rathod,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
12,Shraddha Chaudhary,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
8,Suman Nachiketa,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
9,Tanisha Rathod,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
23,Akshay Surange,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
11,Altaf Shaikh,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
29,Ansh Kapadia,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
7,Atul Parmar,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
56,Jigarkumar Parmar,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
26,Karan Sharam,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
14,Kenny Borsada,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
19,Krish Patel,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
10,Krishna Damor,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
3,Nikhil Diwakar,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
84,Noman Pthan,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
45,Rutvikkumar Nayka,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
35,Sanjay Parmar,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
55,Swayam Narang,day-1,Gujarat Ultimate,Telangana Ultimate,,,,,,,,,
,Akshara Domala,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Ankita P,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Goundla Mamatha,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Manasa H G,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Nayanatara Vadali,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Ramya Bhavana Kothapalli,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Sindhu M,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Usha Rani,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Varshita M,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Abimanyu Nair,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Anil K,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Anil Naik,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Dhiraj Gangaraju,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
1,Kishen Chandar,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
7,Mayank Dawra,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Panvi S,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Pranay M,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Ravitheja Tetali,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Sandeep G,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Suresh K,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Tharun K,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
59,Venkatesh Kumar,day-1,Telangana Ultimate,Gujarat Ultimate,,,,,,,,,
,Deepika Shankar,day-1,Tamilnadu,Uttar Pradesh,,,,,,,,,
