"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line","","","","","","","","","","","",""
"","Varshita M","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Abimanyu Nair","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Anil K","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Anil Naik","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Dhiraj Gangaraju","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"1","Kishen Chandar","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"7","Mayank Dawra","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Panvi S","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Pranay M","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Ravitheja Tetali","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Sandeep G","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Suresh K","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Tharun K","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"59","Venkatesh Kumar","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"88","Anushka Mallah","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","1","1","","","","","","","","","","","","","",""
"8","Harshita Kori","day-2","Madhya Pradesh","Telangana Ultimate","1","1","1","1","1","13","9","11","2","","","","","","","","","","","",""
"12","Jiya Parmar","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","1","1","","","","","","","","","","","",""
"13","Malti Jhanjhoriya","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","2","2","1","","","","","","","","","","","","",""
"33","Muskaan Mallah","day-2","Madhya Pradesh","Telangana Ultimate","1","","","1","","12","8","11","2","","","","","","","","","","","",""
"19","Sakshi Mallah","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","6","5","5","1","","","","","","","","","","","",""
"22","Shagun Kori","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"18","Shraddha Tiwari","day-2","Madhya Pradesh","Telangana Ultimate","","","","1","","11","7","6","","","","","","","","","","","","",""
"81","Shruti Kori","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","1","","2","","","","","","","","","","","","",""
"5","Vandana Jhanjhoriya","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"27","Abhishek Pawar","day-2","Madhya Pradesh","Telangana Ultimate","","","","","1","2","2","2","1","","","","","","","","","","","",""
"1","Anish Mallah","day-2","Madhya Pradesh","Telangana Ultimate","","3","1","2","","6","4","7","1","","","","","","","","","","","",""
"7","Anurag Patel","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"99","Aryan Rawat","day-2","Madhya Pradesh","Telangana Ultimate","4","","1","4","","7","5","10","1","","","","","","","","","","","",""
"17","Dhanraj Kalar","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"4","Dilbaras Parmar","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"10","Harsh Kori","day-2","Madhya Pradesh","Telangana Ultimate","2","1","1","","1","9","6","","","","","","","","","","","","","",""
"77","Karan Mallah","day-2","Madhya Pradesh","Telangana Ultimate","","1","","","","3","2","10","2","","","","","","","","","","","",""
"11","Om Yadav","day-2","Madhya Pradesh","Telangana Ultimate","","3","2","1","","11","8","3","1","","","","","","","","","","","",""
"3","Radhepal Choudhary","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","2","","","","","","","","","","","","",""
"2","Rajveer Parmar","day-2","Madhya Pradesh","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"14","Rizwan Singh","day-2","Madhya Pradesh","Telangana Ultimate","3","","","","","2","1","4","2","","","","","","","","","","","",""
"9","Stephen Charles","day-2","Madhya Pradesh","Telangana Ultimate","","2","","1","1","5","3","2","","","","","","","","","","","","",""
