"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line","","","","","","","","","","","",""
"14","Karan Arora","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","1","1","","","","","","","","","","","","","",""
"63","Kunal Pasalkar","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","2","","","","","","","","","","","","",""
"92","Maksood Chaudhary","day-2","Maharashtra Ultimate","Uttar Pradesh","2","","1","1","","7","4","","","","","","","","","","","","","",""
"69","Rohan Bijoor","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"23","Sachin Pandit","day-2","Maharashtra Ultimate","Uttar Pradesh","","1","","","2","1","1","7","2","","","","","","","","","","","",""
"9","Sandeep Kannoujia","day-2","Maharashtra Ultimate","Uttar Pradesh","1","1","","","1","3","2","6","2","","","","","","","","","","","",""
"49","Sanjeev Kumar","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","1","1","","","","","","","","","","","","","",""
"31","Shivamkumar Dubey","day-2","Maharashtra Ultimate","Uttar Pradesh","1","","","","1","7","3","","","","","","","","","","","","","",""
"74","Shubham More","day-2","Maharashtra Ultimate","Uttar Pradesh","2","1","","","1","7","4","","","","","","","","","","","","","",""
"58","Sunil Varma","day-2","Maharashtra Ultimate","Uttar Pradesh","","1","2","1","2","5","3","1","","","","","","","","","","","","",""
"1","Sushant Tapse","day-2","Maharashtra Ultimate","Uttar Pradesh","","1","","","3","4","3","","","","","","","","","","","","","",""
"4","Tahir Siddiqui","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","4","1","","","","","","","","","","","",""
"10","Vikas Chauhan","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","2","","1","","","","","","","","","","","","",""
"","Deepika Shankar","day-2","Tamilnadu","Delhi Ultimate","1","","2","","","","","7","4","","","","","","","","","","","",""
"","Gothainayagi R","day-2","Tamilnadu","Delhi Ultimate","","","","","","1","1","3","1","","","","","","","","","","","",""
"","Monika Shankar","day-2","Tamilnadu","Delhi Ultimate","","","","","","6","6","2","1","","","","","","","","","","","",""
"8","Mrinalini Siddhartha","day-2","Tamilnadu","Delhi Ultimate","2","1","","","","5","5","2","1","","","","","","","","","","","",""
"18","Pooja B","day-2","Tamilnadu","Delhi Ultimate","","","","1","","","","5","3","","","","","","","","","","","",""
"77","Pooja S","day-2","Tamilnadu","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"0","Sagarika AP","day-2","Tamilnadu","Delhi Ultimate","","","","","","","","6","3","","","","","","","","","","","",""
"94","Samyuktha Arvind","day-2","Tamilnadu","Delhi Ultimate","","1","","","","","","8","3","","","","","","","","","","","",""
"","Selvi Murugan","day-2","Tamilnadu","Delhi Ultimate","2","","","","","8","8","2","1","","","","","","","","","","","",""
"","Shruthi Nathella","day-2","Tamilnadu","Delhi Ultimate","","","1","","2","8","8","2","1","","","","","","","","","","","",""
"13","Snehankita Rout","day-2","Tamilnadu","Delhi Ultimate","","","","","","","","5","3","","","","","","","","","","","",""
"","Srividya Suriyashekar","day-2","Tamilnadu","Delhi Ultimate","1","","","","","","","5","3","","","","","","","","","","","",""
"2","Vijaya Dharshini M","day-2","Tamilnadu","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Mirra","day-2","Tamilnadu","Delhi Ultimate","","","","","","","","1","","","","","","","","","","","","",""
"","Arulmozhi Selvan","day-2","Tamilnadu","Delhi Ultimate","","","","","","3","3","1","","","","","","","","","","","","",""
"","Hariharan Kumar","day-2","Tamilnadu","Delhi Ultimate","2","3","","","1","7","7","1","1","","","","","","","","","","","",""
