"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"","Anil K","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","0","0","3","0"
"","Anil Naik","day-1","Telangana Ultimate","Gujarat Ultimate","","","","1","","0","0","4","1"
"","Dhiraj Gangaraju","day-1","Telangana Ultimate","Gujarat Ultimate","","1","1","1","3","12","6","0","0"
"1","Kishen Chandar","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","1","1","5","0"
"7","Mayank Dawra","day-1","Telangana Ultimate","Gujarat Ultimate","2","2","","","","11","6","0","0"
"","Panvi S","day-1","Telangana Ultimate","Gujarat Ultimate","1","1","1","2","1","1","1","5","1"
"","Pranay M","day-1","Telangana Ultimate","Gujarat Ultimate","1","1","1","1","","11","6","0","0"
"","Ravitheja Tetali","day-1","Telangana Ultimate","Gujarat Ultimate","1","","","","","2","1","4","1"
"","Sandeep G","day-1","Telangana Ultimate","Gujarat Ultimate","","1","","1","","2","0","2","1"
"","Suresh K","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","1","2","0","2","0"
"","Tharun K","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","2","0","2","0"
"59","Venkatesh Kumar","day-1","Telangana Ultimate","Gujarat Ultimate","","1","","","1","5","3","0","0"
"","Deepika Shankar","day-1","Tamilnadu","Uttar Pradesh","1","","","","","","","7","3"
"","Gothainayagi R","day-1","Tamilnadu","Uttar Pradesh","","","","","","1","","4","1"
"","Monika Shankar","day-1","Tamilnadu","Uttar Pradesh","1","","","","","9","8","1","1"
"8","Mrinalini Siddhartha","day-1","Tamilnadu","Uttar Pradesh","","","","","1","3","3","2","2"
"18","Pooja B","day-1","Tamilnadu","Uttar Pradesh","","","","","","","","5","4"
"77","Pooja S","day-1","Tamilnadu","Uttar Pradesh","","","","","","","","",""
"0","Sagarika AP","day-1","Tamilnadu","Uttar Pradesh","","","","","","","","5",""
"94","Samyuktha Arvind","day-1","Tamilnadu","Uttar Pradesh","","","","","","1","1","9","4"
"","Selvi Murugan","day-1","Tamilnadu","Uttar Pradesh","1","1","","","1","8","7","2","2"
"","Shruthi Nathella","day-1","Tamilnadu","Uttar Pradesh","","2","","","","9","8","1","1"
"13","Snehankita Rout","day-1","Tamilnadu","Uttar Pradesh","","","","","","1","1","5","1"
"","Srividya Suriyashekar","day-1","Tamilnadu","Uttar Pradesh","1","1","","","","","","7","4"
"2","Vijaya Dharshini M","day-1","Tamilnadu","Uttar Pradesh","","","","","","","","",""
